second,Volt
-0.00085476674375,-0.877605
-0.00085371674375,-0.89449
-0.00085266674375,-0.89449
-0.00085161674375,-0.89449
-0.00085056674375,-0.89449
-0.00084951674375,-0.89449
-0.00084846674375,-0.89449
-0.00084741674375,-0.89449
-0.00084636674375,-0.89449
-0.00084531674375,-0.89449
-0.00084426674375,-0.911374
-0.00084321674375,-0.89449
-0.00084216674375,-0.911374
-0.00084111674375,-0.911374
-0.00084006674375,-0.911374
-0.00083901674375,-0.911374
-0.00083796674375,-0.911374
-0.00083691674375,-0.911374
-0.00083586674375,-0.928259
-0.00083481674375,-0.911374
-0.00083376674375,-0.928259
-0.00083271674375,-0.928259
-0.00083166674375,-0.928259
-0.00083061674375,-0.928259
-0.00082956674375,-0.928259
-0.00082851674375,-0.928259
